SL. NO.,ASSETS TAG NO.,PART NO,No of Parts,Part Description,Part wt,runner wt,Ton,cycle time,Cummulative 2018,Jan-19,Cum Jan,Feb-19,Cum Feb,Mar-19,Cum Mar,Apr-19,Cum Apr,May-19,Cum May,Jun-19,Cum Jun,Jul-19,Cum Jul,Aug-19,Cum Aug,Sep-19,Cum Sep,Oct-19,Cum Oct,Nov-19,Cum Nov,Dec-19,Cum Dec,Cummulative 2019,Total Shots till Dec 2019
99,72001595-0002,41003128,128,Switch knob zodiac,9.2,1.3,100,55,30390,0,0,3756,3756,3550,7306,2800,10106,3750,13856,5605,19461,,19461,5498,24959,,24959,,24959,,24959,,24959,24959,55349
100,72001443-0001,41002455,129,Switch Knob Crown,6,0.8,100,53,197746,3350,3350,16454,19804,7400,27204,6300,33504,3600,37104,16887,53991,2923,56914,6988,63902,4970,68872,,68872,,68872,,68872,68872,266618
101,72000643-0001,41001722,130,Switch Knob XPRO,12,1.5,80,49,59480,1444,1444,1400,2844,1862,4706,3200,7906,2100,10006,200,10206,1605,11811,2050,13861,,13861,,13861,,13861,,13861,13861,73341
102,72000006-0002,,131,Top cap,175.5,1,150,75,195131,22813,22813,15524,38337,18800,57137,21200,78337,17600,95937,12993,108930,10996,119926,14585,134511,12821,147332,,147332,,147332,,147332,147332,342463
103,72001212-0001,41003834,132,Top Cover XPRO,92,4,100,60,120675,4940,4940,4572,9512,11976,21488,5500,26988,6600,33588,5880,39468,2131,41599,5880,47479,3190,50669,,50669,,50669,,50669,50669,171344
104,72001460-0001,41002615,133,Dome Lid Clear San,10,1.7,120,45,43036,0,0,2400,2400,1950,4350,1350,5700,2800,8500,,8500,,8500,,8500,,8500,,8500,,8500,,8500,8500,51536
105,72000649-0001,41001725,134,Insert Top Cover XPRO,1,1,80,36,97923,0,0,0,0,7200,7200,4800,12000,4600,16600,,16600,2888,19488,11033,30521,,30521,,30521,,30521,,30521,30521,128444
106,72001599-0002,41002997,135,Indicator cover zodiac,2.6,1.25,100,44,35880,0,0,2485,2485,2800,5285,3750,9035,3800,12835,3965,16800,4300,21100,8570,29670,,29670,,29670,,29670,,29670,29670,65550
107,72000618-0001,42000151,136,Body - CAFEZEST (W),150,2,,,38340,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,38340
,,42000104,137,Body - CAFEZEST (B),,,,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
